32.26	8
32.28	20
32.3	16
32.32	14
32.34	19
32.36	17
32.38	16
32.4	13
32.42	12
32.44	15
32.46	22
32.48	14
32.5	24
32.52	19
32.54	11
32.56	21
32.58	14
32.6	14
32.62	14
32.64	13
32.66	14
32.68	16
32.7	19
32.72	13
32.74	14
32.76	22
32.78	24
32.8	20
32.82	17
32.84	22
32.86	13
32.88	18
32.9	23
32.92	37
32.94	32
32.96	44
32.98	44
33	29
33.02	41
33.04	38
33.06	34
33.08	38
33.1	26
33.12	27
33.14	20
33.16	24
33.18	24
33.2	17
33.22	13
33.24	19
33.26	21
33.28	19
33.3	17
33.32	12
33.34	17
33.36	20
33.38	22
33.4	15
33.42	24
33.44	16
33.46	20
33.48	25
33.5	16
33.52	28
33.54	20
33.56	25
33.58	29
33.6	22
33.62	19
33.64	13
33.66	17
33.68	19
33.7	23
33.72	26
33.74	13
33.76	19
33.78	25
33.8	31
33.82	23
33.84	19
33.86	23
33.88	25
33.9	28
33.92	32
33.94	27
33.96	20
33.98	38
34	27
34.02	37
34.04	29
34.06	38
34.08	35
34.1	34
34.12	30
34.14	31
34.16	28
34.18	34
34.2	37
34.22	27
34.24	26
34.26	16
34.28	23
34.3	13
34.32	27
34.34	25
34.36	31
34.38	31
34.4	30
34.42	26
34.44	32
34.46	25
34.48	42
34.5	21
34.52	26
34.54	22
34.56	27
34.58	26
34.6	26
34.62	30
34.64	30
34.66	24
34.68	21
34.7	28
34.72	30
34.74	25
34.76	23
34.78	30
34.8	25
34.82	36
34.84	32
34.86	32
34.88	44
34.9	45
34.92	38
34.94	38
34.96	44
34.98	41
35	48
35.02	44
35.04	46
35.06	45
35.08	55
35.1	59
35.12	58
35.14	55
35.16	59
35.18	67
35.2	79
35.22	72
35.24	72
35.26	100
35.28	104
35.3	117
35.32	104
35.34	125
35.36	180
35.38	190
35.4	166
35.42	222
35.44	225
35.46	240
35.48	222
35.5	246
35.52	231
35.54	196
35.56	202
35.58	188
35.6	159
35.62	142
35.64	142
35.66	144
35.68	123
35.7	119
35.72	96
35.74	86
35.76	86
35.78	86
35.8	67
35.82	62
35.84	53
35.86	55
35.88	67
35.9	42
35.92	36
35.94	42
35.96	44
35.98	50
36	41
36.02	42
36.04	24
36.06	37
36.08	44
36.1	32
36.12	36
